願我如星君如月，夜夜流光相皎潔。 | 范成大
我達達的馬蹄是美麗的錯誤，我不是歸人，是個過客。 | 鄭愁予
如何讓你遇見我，在我最美麗的時刻。 | 席慕蓉
在年輕的時候，如果你愛上了一個人，請你一定要溫柔地對待他。 | 席慕蓉
不是所有的相遇都有結果，但所有的相遇都有意義。 | 佚名
世界上有那麼多的城市，城市裡有那麼多的酒館，她卻走進了我的。 | 電影《北非諜影》
愛情，原來是含笑飲毒酒。 | 張愛玲
於千萬人之中遇見你所要遇見的人，沒有早一步，也沒有晚一步，剛巧趕上了。 | 張愛玲
也許每一個男子全都有過這樣的兩個女人，至少兩個。 | 張愛玲
你問我愛你值不值得，其實你應該知道，愛就是不問值得不值得。 | 張愛玲
遇見你之前，我沒有想過結婚；遇見你之後，結婚我沒有想過別人。 | 錢鍾書
洗手作羹湯的浪漫，是柴米油鹽裡的深情。 | 佚名
婚姻是一座圍城，城外的人想進去，城裡的人想出來。 | 錢鍾書
我愛你，是這世界上最簡單也最難的三個字。 | 佚名
愛是想觸碰又收回的手。 | 塞林格
人生緣何不快樂，只因未讀蘇東坡；人生緣何太匆匆，只因相思入夢中。 | 佚名
思念是一種很玄的東西，如影隨形。 | 佚名
喜歡一個人，是不會有痛苦的；愛一個人，也許有綿長的痛苦，但他給我的快樂，也是世上最大的快樂。 | 三毛
每想你一次，天上飄落一粒沙，從此形成了撒哈拉。 | 三毛
如果有來生，要做一棵樹，站成永恆，沒有悲歡的姿勢。 | 三毛
歲月極美，在於它必然的流逝。春花、秋月、夏日、冬雪，你若盛開，清風自來。 | 三毛
愛情如果不落實到穿衣、吃飯、數錢、睡覺這些實實在在的生活裡去，是不容易天長地久的。 | 三毛
我醒著的時候想你，睡著的時候夢你，你是我所有的白天和黑夜。 | 佚名
真愛就像鬼魂，談論的人多，見過的人少。 | 拉羅什福科
愛情是理解和體貼的別名。 | 泰戈爾
眼睛為她下著雨，心卻為她打著傘，這就是愛情。 | 泰戈爾
世界上最遠的距離，不是生與死，而是我就站在你面前，你卻不知道我愛你。 | 泰戈爾
願你的生命中有夠多的雲翳，來造成一個美麗的黃昏。 | 冰心
愛在左，情在右，走在生命路的兩旁，隨時撒種，隨時開花。 | 冰心
一生至少該有一次，為了某個人而忘了自己，不求有結果，只求在我最美的年華裡，遇到你。 | 徐志摩
我將於茫茫人海中訪我唯一靈魂之伴侶；得之，我幸；不得，我命。 | 徐志摩
