世界上只有一種真正的英雄主義，那就是在認清生活的真相後依然熱愛它。 | 羅曼·羅蘭
靈魂的痛苦比肉體的痛苦更難忍受。 | 塞內卡
真正自由的人，是不怕死的人。 | 蒙田
我們只是浩瀚宇宙中的一粒微塵。 | 卡爾·薩根
孤獨，是偉大心靈的命運。 | 叔本華
幸福就是心靈的平靜。 | 德謨克利特
人只有在獨處時，才能完全成為自己。 | 叔本華
過去已逝，未來未至，唯有當下是真實的。 | 奧勒留
人生的道路雖然漫長，但緊要處常常只有幾步。 | 柳青
歷史總是在重複自己，因為人性從未改變。 | 修昔底德
當我們不再害怕失去，我們就真正自由了。 | 塞內卡
最偉大的真理往往是最簡單的。 | 塞內卡
思考是靈魂與自己的對話。 | 柏拉圖
我們無法改變風向，但可以調整風帆。 | 塞內卡
逆境是檢驗真理的最佳試金石。 | 盧梭
人類的悲歡並不相通，我只覺得他們吵鬧。 | 魯迅
孤獨，是認識自我必經的荒野。 | 尼采
只有經歷過地獄般的折磨，才有征服天堂的力量. | 泰戈爾
命運是個隨機的輪盤，我們只是在其中掙扎的棋子。 | 莎士比亞
在這個荒謬的世界裡，反抗是唯一的尊嚴。 | 卡謬
死亡不可怕，可怕的是從未真正活過。 | 奧勒留
我們所知甚少，所忘甚多。 | 羅素
時間是個無情的審判者，它會抹去一切痕跡。 | 莎士比亞
沒有一種生活是完美的，但每種生活都值得尊重。 | 薩特
世界如同一面鏡子，你用什麼表情看它，它就回你什麼。 | 薩克雷
沒有目標的航行，任何風都不是順風。 | 塞內卡
生命短促，藝術長青。 | 希波克拉底
所謂的真理，不過是能讓我們生存下去的謊言。 | 尼采
人的心靈深處，總有一處無法被光照亮的角落。 | 榮格
孤獨是靈魂的避難所。 | 培根
真正的智慧，是懂得在黑暗中尋找微光。 | 奧勒留
生活在陰溝裡，依然有人仰望星空。 | 王爾德
我們都是時間的旅人，在虛無中尋找著歸宿。 | 海德格
一切繁華，終將歸於寂靜。 | 叔本華
人生是一場無聲的修行，每一步都在與自己妥協。 | 塞內卡
命運奪走了很多，但也留下了最珍貴的靈魂。 | 奧勒留
自由的代價是永遠的警惕。 | 傑佛遜
我們的生命是由別人的死亡構成的。 | 達文西
痛苦是軟弱離開身體的過程。 | 塞內卡
只要我們還在呼吸，就不能失去希望。 | 塞內卡
沒有什麼比追求真理更讓人感到踏實。 | 笛卡兒
最深刻的道理，往往隱藏在最平凡的日常中。 | 蘇格拉底
人生的本質是孤獨，而愛是唯一的橋樑。 | 薩特
世界是荒謬的，但我們的抗爭是偉大的。 | 卡謬
真正的強大，是能在寂靜中聽見自己的心跳。 | 尼采
歲月會帶走容顏，但帶不走智慧的痕跡。 | 柏拉圖
我們都是困在肉體裡的星塵。 | 卡爾·薩根
沒有什麼能阻擋一個自由靈魂的思考。 | 斯賓諾莎
痛苦會過去，而美麗會留下。 | 雷諾瓦
認識自己的侷限，是智慧的開端。 | 蘇格拉底
生命的長度不重要，重要的是它的深度。 | 塞內卡
在最深的絕望裡，遇見最美麗的風景。 | 三毛
人類的全部智慧，都包含在四個字裡面：等待和希望。 | 大仲馬
命運無法選擇，但面對命運的姿態可以。 | 奧勒留
寧可在孤獨中自由，也不在喧囂中迷失。 | 尼采
我們終將孤獨地面對死神，正如我們孤獨地來到人間。 | 薩特
無論多麼漫長的黑夜，黎明總會按時到來。 | 塞內卡
